IP,Timestamp,GPU,GPU_Memory,Encoder,Decoder
10.82.1.14,16:19:05,10,6,0,12
10.82.1.15,16:19:05,5,5,0,23
10.82.1.16,16:19:06,25,20,0,39
10.82.1.14,16:19:08,9,6,0,13
10.82.1.15,16:19:09,5,5,0,22
10.82.1.16,16:19:10,8,6,0,21
10.82.1.14,16:19:12,9,6,0,13
10.82.1.15,16:19:13,2,2,0,0
10.82.1.16,16:19:14,8,6,0,21
10.82.1.14,16:19:15,16,14,0,38
10.82.1.15,16:19:17,5,5,0,22
10.82.1.16,16:19:18,7,6,0,19
10.82.1.14,16:19:19,9,7,0,19
10.82.1.15,16:19:20,5,5,0,0
10.82.1.16,16:19:22,7,6,0,19
10.82.1.14,16:19:23,9,7,0,20
10.82.1.15,16:19:24,6,6,0,21
10.82.1.16,16:19:26,7,6,0,19
10.82.1.14,16:19:26,9,6,0,16
10.82.1.15,16:19:28,5,5,0,21
10.82.1.16,16:19:30,8,6,0,19
10.82.1.14,16:19:30,9,6,0,17
